T30,Gross domestic expenditure on research and development (R&D),,,,,
Region/Country/Area,,Year,Series,Value,Footnotes,Source
426,Lesotho,2015,Gross domestic expenditure on R & D: Business enterprises (%),0.8,Excluding private non-profit.;Excluding business enterprise.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
426,Lesotho,2015,Gross domestic expenditure on R & D: Government (%),91.1,Excluding private non-profit.;Excluding business enterprise.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
426,Lesotho,2015,Gross domestic expenditure on R & D: Private non-profit (%),0.3,Excluding private non-profit.;Excluding business enterprise.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
426,Lesotho,2015,Gross domestic expenditure on R & D: Funds from abroad (%),7.8,Excluding private non-profit.;Excluding business enterprise.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
440,Lithuania,2005,Gross domestic expenditure on R & D: as a percentage of GDP (%),0.7,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
440,Lithuania,2005,Gross domestic expenditure on R & D: Business enterprises (%),20.8,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
440,Lithuania,2005,Gross domestic expenditure on R & D: Government (%),62.7,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
440,Lithuania,2005,Gross domestic expenditure on R & D: Higher education (%),5.7,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
440,Lithuania,2005,Gross domestic expenditure on R & D: Private non-profit (%),0.2,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
440,Lithuania,2005,Gross domestic expenditure on R & D: Funds from abroad (%),10.5,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
440,Lithuania,2010,Gross domestic expenditure on R & D: as a percentage of GDP (%),0.8,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
440,Lithuania,2010,Gross domestic expenditure on R & D: Business enterprises (%),32.4,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
440,Lithuania,2010,Gross domestic expenditure on R & D: Government (%),46,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
440,Lithuania,2010,Gross domestic expenditure on R & D: Higher education (%),1.5,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
440,Lithuania,2010,Gross domestic expenditure on R & D: Private non-profit (%),0.2,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
440,Lithuania,2010,Gross domestic expenditure on R & D: Funds from abroad (%),19.9,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
440,Lithuania,2015,Gross domestic expenditure on R & D: as a percentage of GDP (%),1,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
440,Lithuania,2015,Gross domestic expenditure on R & D: Business enterprises (%),28.5,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
440,Lithuania,2015,Gross domestic expenditure on R & D: Government (%),35.3,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
440,Lithuania,2015,Gross domestic expenditure on R & D: Higher education (%),1.5,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
440,Lithuania,2015,Gross domestic expenditure on R & D: Private non-profit (%),0.3,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
440,Lithuania,2015,Gross domestic expenditure on R & D: Funds from abroad (%),34.3,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
440,Lithuania,2016,Gross domestic expenditure on R & D: as a percentage of GDP (%),0.8,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
442,Luxembourg,2005,Gross domestic expenditure on R & D: as a percentage of GDP (%),1.6,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
442,Luxembourg,2005,Gross domestic expenditure on R & D: Business enterprises (%),79.7,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
442,Luxembourg,2005,Gross domestic expenditure on R & D: Government (%),16.6,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
442,Luxembourg,2005,Gross domestic expenditure on R & D: Higher education (%),0,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
442,Luxembourg,2005,Gross domestic expenditure on R & D: Private non-profit (%),0.1,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
442,Luxembourg,2005,Gross domestic expenditure on R & D: Funds from abroad (%),3.6,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
442,Luxembourg,2010,Gross domestic expenditure on R & D: as a percentage of GDP (%),1.5,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
442,Luxembourg,2010,Gross domestic expenditure on R & D: Business enterprises (%),43.5,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
442,Luxembourg,2010,Gross domestic expenditure on R & D: Government (%),35.1,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
442,Luxembourg,2010,Gross domestic expenditure on R & D: Higher education (%),0.6,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
442,Luxembourg,2010,Gross domestic expenditure on R & D: Private non-profit (%),0.1,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
442,Luxembourg,2010,Gross domestic expenditure on R & D: Funds from abroad (%),20.6,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
442,Luxembourg,2015,Gross domestic expenditure on R & D: as a percentage of GDP (%),1.3,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
442,Luxembourg,2015,Gross domestic expenditure on R & D: Business enterprises (%),47.1,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
442,Luxembourg,2015,Gross domestic expenditure on R & D: Government (%),47.7,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
442,Luxembourg,2015,Gross domestic expenditure on R & D: Higher education (%),1.6,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
442,Luxembourg,2015,Gross domestic expenditure on R & D: Private non-profit (%),0.2,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed September 2018."
